,open,close,high,low,volume,money
2024-01-02,8.58,8.41,8.6,8.41,126825273.0,1075742252.45
2024-01-03,8.39,8.4,8.42,8.36,80320289.0,673673613.54
2024-01-04,8.39,8.32,8.39,8.29,94617414.0,787470082.37
2024-01-05,8.31,8.47,8.62,8.28,218055369.0,1852659692.14
2024-01-08,8.43,8.36,8.49,8.32,122751258.0,1029006548.73
2024-01-09,8.37,8.38,8.39,8.3,83887744.0,700375720.2
2024-01-10,8.37,8.3,8.39,8.3,94007238.0,783771150.01
2024-01-11,8.29,8.38,8.42,8.25,102335365.0,853890237.29
2024-01-12,8.34,8.39,8.47,8.32,84587172.0,711018266.07
2024-01-15,8.37,8.41,8.49,8.34,81581828.0,685950951.45
2024-01-16,8.39,8.53,8.54,8.37,157475543.0,1334465408.53
2024-01-17,8.52,8.43,8.58,8.43,162291148.0,1380725065.0
2024-01-18,8.41,8.4,8.44,8.22,192162984.0,1597853726.63
2024-01-19,8.37,8.38,8.4,8.31,105542772.0,881865023.89
2024-01-22,8.37,8.31,8.46,8.26,173023374.0,1449858241.68
2024-01-23,8.27,8.37,8.38,8.18,124326590.0,1030898421.04
2024-01-24,8.43,8.52,8.53,8.28,192599910.0,1620099272.06
2024-01-25,8.52,8.68,8.71,8.47,236765681.0,2037648413.07
2024-01-26,8.65,8.79,8.83,8.62,248784334.0,2172799799.01
2024-01-29,8.85,8.86,9.02,8.75,260167055.0,2312173346.33
2024-01-30,8.78,8.68,8.86,8.67,172892262.0,1515156603.96
2024-01-31,8.64,8.64,8.73,8.57,148596738.0,1286857396.81
